# Ch1	Ch2	Ch3	Ch4
1.372	0.788	2.230	2.131
1.291	0.854	2.332	2.139
1.263	0.812	2.372	2.152
1.366	0.766	2.374	2.168
1.314	0.845	2.345	2.112
1.272	0.800	2.352	2.129
1.337	0.757	2.237	2.168
1.301	0.841	2.294	2.115
1.258	0.831	2.346	2.140
1.314	0.755	2.217	2.158
1.314	0.821	2.295	2.190
1.281	0.808	2.318	2.142
1.317	0.755	2.197	2.166
1.366	0.828	2.197	2.134
1.262	0.820	2.342	2.140
1.304	0.753	2.214	2.155
1.359	0.797	2.189	2.126
1.297	0.856	2.358	2.133
1.314	0.777	2.377	2.151
1.367	0.791	2.325	2.162
1.285	0.845	2.351	2.118
1.289	0.805	2.379	2.138
1.353	0.775	2.224	2.138
1.296	0.841	2.338	2.125
1.260	0.795	2.336	2.167
1.334	0.762	2.219	2.113
1.279	0.850	2.344	2.166
1.242	0.818	2.372	2.193
1.317	0.750	2.319	2.145
1.343	0.838	2.321	2.120
1.249	0.806	2.339	2.114
1.307	0.765	2.210	2.155
1.352	0.841	2.295	2.122
1.289	0.826	2.317	2.120
1.297	0.783	2.210	2.191
1.326	0.791	2.190	2.180
1.285	0.856	2.318	2.145
1.302	0.776	2.332	2.172
1.343	0.779	2.217	2.130
1.296	0.856	2.345	2.101
1.263	0.808	2.239	2.149
1.359	0.764	2.203	2.133
1.295	0.859	2.325	2.107
1.289	0.795	2.371	2.135
1.367	0.779	2.217	2.139
1.301	0.846	2.313	2.119
1.263	0.815	2.358	2.129
1.305	0.767	2.219	2.174
1.320	0.812	2.322	2.119
1.256	0.834	2.372	2.132
1.305	0.754	2.213	2.193
1.301	0.831	2.210	2.163
1.256	0.828	2.346	2.145
1.307	0.777	2.329	2.139
1.346	0.812	2.189	2.122
1.289	0.831	2.329	2.126
1.302	0.772	2.280	2.152
1.333	0.762	2.190	2.126
1.236	0.853	2.344	2.113
1.289	0.791	2.325	2.155
1.320	0.782	2.202	2.149
1.295	0.874	2.334	2.110
1.276	0.809	2.351	2.155
1.343	0.769	2.221	2.126
1.301	0.856	2.338	2.112
1.239	0.788	2.349	2.144
1.317	0.765	2.230	2.171
1.282	0.856	2.321	2.118
1.245	0.831	2.359	2.139
1.314	0.771	2.217	2.142
1.314	0.831	2.262	2.119
1.261	0.821	2.362	2.132
1.313	0.760	2.211	2.159
1.346	0.794	2.296	2.126
1.259	0.844	2.329	2.151
1.317	0.766	2.210	2.158
1.326	0.797	2.190	2.146
1.265	0.848	2.339	2.126
1.310	0.779	2.338	2.107
1.354	0.791	2.203	2.114
1.289	0.862	2.338	2.107
1.237	0.796	2.358	2.151
1.367	0.760	2.222	2.136
1.296	0.856	2.325	2.112
1.263	0.793	2.374	2.139
1.313	0.761	2.222	2.151
1.289	0.851	2.282	2.118
1.239	0.818	2.364	2.158
1.311	0.760	2.224	2.151
1.301	0.786	2.325	2.126
1.240	0.843	2.372	2.155
1.306	0.775	2.193	2.166
1.301	0.815	2.223	2.100
1.297	0.815	2.349	2.142
1.304	0.758	2.216	2.109
1.326	0.825	2.210	2.119
1.291	0.859	2.318	2.114
1.307	0.795	2.212	2.165
1.372	0.789	2.189	2.106
1.304	0.854	2.319	2.114
1.297	0.782	2.345	2.149
1.353	0.791	2.222	2.155
1.297	0.856	2.320	2.102
1.242	0.795	2.346	2.110
1.356	0.791	2.230	2.136
1.302	0.855	2.342	2.112
1.245	0.805	2.351	2.171
1.347	0.755	2.226	2.151
1.314	0.825	2.309	2.126
1.245	0.812	2.349	2.145
1.306	0.731	2.230	2.142
1.314	0.815	2.296	2.126
1.242	0.812	2.358	2.107
1.314	0.760	2.214	2.165
1.320	0.831	2.246	2.129
1.301	0.853	2.342	2.126
1.314	0.779	2.273	2.149
1.342	0.801	2.277	2.127
1.275	0.854	2.319	2.107
1.317	0.775	2.317	2.094
1.359	0.774	2.189	2.126
1.297	0.841	2.338	2.107
1.276	0.795	2.371	2.144
1.347	0.791	2.209	2.136
1.301	0.851	2.345	2.107
1.256	0.791	2.375	2.093
1.368	0.762	2.217	2.155
1.298	0.854	2.322	2.113
1.239	0.806	2.338	2.119
1.313	0.765	2.229	2.171
1.320	0.850	2.207	2.116
1.248	0.801	2.363	2.142
1.314	0.768	2.211	2.165
1.341	0.828	2.276	2.116
1.249	0.834	2.352	2.107
1.320	0.779	2.226	2.135
1.362	0.826	2.189	2.126
1.278	0.841	2.204	2.133
1.304	0.775	2.210	2.152
1.367	0.797	2.190	2.126
1.296	0.849	2.318	2.126
1.302	0.780	2.345	2.155
1.354	0.779	2.219	2.139
1.295	0.853	2.344	2.110
1.240	0.814	2.372	2.110
1.343	0.760	2.217	2.149
1.306	0.853	2.332	2.113
1.249	0.812	2.372	2.151
1.306	0.754	2.229	2.151
1.346	0.837	2.321	2.126
1.248	0.825	2.358	2.158
1.310	0.758	2.210	2.168
1.293	0.834	2.322	2.126
1.233	0.812	2.313	2.129
1.317	0.754	2.204	2.155
1.345	0.797	2.283	2.126
1.272	0.818	2.317	2.114
1.289	0.766	2.226	2.162
1.346	0.832	2.230	2.126
1.301	0.849	2.318	2.106
1.289	0.808	2.306	2.139
1.375	0.777	2.219	2.120
1.301	0.856	2.230	2.151
1.310	0.793	2.372	2.151
1.311	0.779	2.203	2.138
1.296	0.846	2.334	2.112
1.263	0.799	2.374	2.151
1.307	0.791	2.224	2.120
1.287	0.828	2.213	2.118
1.269	0.812	2.359	2.112
1.310	0.756	2.224	2.168
1.282	0.851	2.255	2.139
1.256	0.825	2.358	2.101
1.313	0.749	2.210	2.184
1.307	0.825	2.263	2.112
1.268	0.837	2.318	2.129
1.307	0.728	2.230	2.166
1.367	0.797	2.255	2.131
1.297	0.847	2.346	2.121
1.320	0.765	2.226	2.143
1.368	0.802	2.203	2.133
1.296	0.853	2.345	2.114
1.276	0.775	2.226	2.151
1.366	0.785	2.214	2.138
1.287	0.848	2.344	2.107
1.234	0.812	2.354	2.112
1.327	0.788	2.217	2.138
