# Ch1	Ch2		Ch3		Ch4
1.239	0.783	2.350	2.010
1.317	0.797	2.236	2.020
1.198	0.857	2.377	1.933
1.268	0.776	2.383	1.955
1.265	0.842	2.202	1.978
1.217	0.888	2.370	1.940
1.227	0.804	2.319	2.011
1.301	0.814	2.212	2.010
1.215	0.880	2.368	1.935
1.211	0.811	2.372	2.010
1.267	0.817	2.203	2.017
1.207	0.888	2.371	1.921
1.225	0.804	2.356	2.009
1.288	0.817	2.249	1.998
1.266	0.911	2.375	1.939
1.246	0.791	2.249	2.165
1.323	0.824	2.222	1.985
1.224	0.888	2.364	1.985
1.265	0.832	2.345	2.007
1.234	0.808	2.429	1.973
1.263	0.898	2.378	1.957
1.179	0.822	2.411	2.001
1.320	0.830	2.202	2.004
1.214	0.888	2.371	1.940
1.251	0.798	2.435	2.010
1.254	0.801	2.201	2.020
1.250	0.869	2.372	2.004
1.230	0.824	2.383	1.986
1.310	0.801	2.424	2.001
1.218	0.907	2.364	1.960
1.184	0.837	2.332	1.996
1.305	0.812	2.245	2.034
1.231	0.904	2.276	1.931
1.236	0.820	2.430	2.017
1.242	0.811	2.229	2.042
1.252	0.863	2.282	2.028
1.192	0.811	2.422	1.972
1.266	0.817	2.209	2.059
1.224	0.883	2.371	1.944
1.235	0.808	2.358	2.009
1.227	0.795	2.228	2.048
1.252	0.866	2.449	1.946
1.181	0.820	2.424	1.981
1.292	0.811	2.221	2.023
1.205	0.889	2.245	2.048
1.217	0.857	2.410	1.977
1.222	0.786	2.244	2.042
1.237	0.895	2.288	1.952
1.184	0.840	2.427	1.989
1.260	0.808	2.243	2.035
1.234	0.860	2.255	1.952
1.233	0.820	2.429	1.912
1.305	0.790	2.235	2.055
1.291	0.882	2.251	2.048
1.197	0.850	2.424	1.977
1.271	0.851	2.245	2.048
1.245	0.863	2.321	1.961
1.171	0.857	2.391	1.989
1.258	0.793	2.243	2.045
1.218	0.887	2.351	1.939
1.217	0.840	2.424	1.960
1.227	0.779	2.242	2.035
1.268	0.857	2.320	1.958
1.164	0.853	2.404	1.960
1.262	0.786	2.245	2.055
1.256	0.857	2.230	1.966
1.201	0.860	2.387	1.990
1.219	0.806	2.245	2.050
1.243	0.867	2.309	1.965
1.188	0.874	2.387	1.965
1.248	0.784	2.255	2.029
1.260	0.857	2.377	1.965
1.191	0.857	2.424	1.946
1.278	0.791	2.242	2.042
1.256	0.836	2.346	1.971
1.233	0.857	2.381	1.960
1.239	0.781	2.236	1.997
1.294	0.834	2.213	1.971
1.207	0.857	2.309	1.960
1.274	0.765	2.242	2.036
1.268	0.821	2.242	1.985
1.233	0.866	2.372	1.948
1.222	0.794	2.278	2.036
1.301	0.857	2.230	1.968
1.224	0.888	2.375	1.946
